date,venue,city,team1_id,team2_id,toss_winner_id,toss_decision,outcome,winner_id,win_margin,win_type,player_of_match
2008-04-22,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,18,14,18,bat,win,14,,,
2010-03-18,M Chinnaswamy Stadium,Bangalore,17,6,17,field,win,17,,,
2024-05-10,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,16,2,2,field,win,16,,,54
2008-04-18,M Chinnaswamy Stadium,Bangalore,17,,17,field,win,,,,
2016-05-29,M Chinnaswamy Stadium,Bangalore,17,8,8,bat,win,8,,,
2025-04-05,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali,6,5,5,field,win,6,,,
2025-05-01,"Sawai Mansingh Stadium, Jaipur",Jaipur,1,6,6,field,win,1,,,
2011-04-14,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,18,17,17,field,win,18,,,
2024-05-26,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,8,,8,bat,win,,,,101
2013-05-15,Wankhede Stadium,Mumbai,1,6,6,field,win,1,,,
2012-04-15,Eden Gardens,Kolkata,,13,,field,win,13,,,88
2022-05-20,"Brabourne Stadium, Mumbai",Mumbai,2,6,2,bat,win,6,,,189
2024-04-02,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,15,7,7,field,win,15,,,128
2010-03-19,Feroz Shah Kotla,Delhi,14,2,14,bat,win,2,,,
2020-10-15,Sharjah Cricket Stadium,Unknown,17,13,17,bat,win,13,,,107
2023-04-04,"Arun Jaitley Stadium, Delhi",Delhi,3,16,16,field,win,16,,,67
2013-05-09,Subrata Roy Sahara Stadium,Pune,9,,,bat,win,,,,
2013-04-23,M Chinnaswamy Stadium,Bangalore,17,9,9,field,win,17,,,
2023-03-31,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,2,16,16,field,win,16,,,64
2015-04-17,Wankhede Stadium,Mumbai,1,2,1,bat,win,2,,,
2010-03-20,Brabourne Stadium,Mumbai,1,17,1,bat,win,17,,,
2023-05-21,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,17,16,16,field,win,16,,,54
2020-10-29,Dubai International Cricket Stadium,Unknown,,2,2,field,win,2,,,1
2020-09-19,Sheikh Zayed Stadium,Abu Dhabi,1,2,2,field,win,2,,,
2023-04-08,"Wankhede Stadium, Mumbai",Mumbai,1,2,2,field,win,2,,,10
2017-04-24,Wankhede Stadium,Mumbai,1,19,1,field,win,19,,,
2021-04-13,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,1,,,field,win,1,,,165
2019-04-22,Sawai Mansingh Stadium,Jaipur,6,3,3,field,win,3,,,27
2024-03-24,"Sawai Mansingh Stadium, Jaipur",Jaipur,6,15,6,bat,win,6,,,187
2022-05-03,"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,16,5,16,bat,win,5,,,176
2018-04-17,Wankhede Stadium,Mumbai,1,17,17,field,win,1,,,151
2021-04-14,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,17,8,8,field,win,17,,,225
2023-04-24,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,3,8,3,bat,win,3,,,43
2016-05-06,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,8,11,8,field,win,8,,,246
2012-04-17,Sawai Mansingh Stadium,Jaipur,6,18,18,bat,win,6,,,
2010-03-14,Eden Gardens,Kolkata,,17,,field,win,,,,
2011-05-22,M Chinnaswamy Stadium,Bangalore,17,2,17,field,win,17,,,
2020-10-21,Sheikh Zayed Stadium,Abu Dhabi,,17,,bat,win,17,,,226
2013-04-29,Wankhede Stadium,Mumbai,1,13,1,bat,win,1,,,151
2010-04-17,Eden Gardens,Kolkata,,6,6,bat,win,,,,257
2021-10-07,Sharjah Cricket Stadium,Sharjah,,6,6,field,win,,,,131
2023-04-28,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chandigarh,15,5,5,field,win,15,,,126
2025-05-20,"Arun Jaitley Stadium, Delhi",Delhi,2,6,6,field,win,6,,,
2018-05-12,Arun Jaitley Stadium,Delhi,14,17,17,field,win,17,,,
2010-04-08,M Chinnaswamy Stadium,Bangalore,17,18,18,field,win,18,,,
2009-05-14,Kingsmead,Durban,1,6,6,bat,win,6,,,
2012-04-21,"MA Chidambaram Stadium, Chepauk",Chennai,2,6,6,bat,win,2,,,211
2010-03-28,"Sardar Patel Stadium, Motera",Ahmedabad,6,2,6,bat,win,6,,,
2016-04-22,Maharashtra Cricket Association Stadium,Pune,12,17,12,field,win,17,,,
2011-05-20,Wankhede Stadium,Mumbai,1,6,1,bat,win,6,,,
2009-04-29,Kingsmead,Durban,13,1,13,bat,win,13,,,
2011-04-15,Sawai Mansingh Stadium,Jaipur,6,,,field,win,,,,
2018-04-14,Wankhede Stadium,Mumbai,1,14,14,field,win,14,,,106
2020-09-27,Sharjah Cricket Stadium,Unknown,13,6,6,field,win,6,,,187
2012-05-27,"MA Chidambaram Stadium, Chepauk",Chennai,,2,2,bat,win,,,,
2010-04-07,Sawai Mansingh Stadium,Jaipur,6,13,13,bat,win,6,,,
2010-04-11,Feroz Shah Kotla,Delhi,14,13,14,bat,win,13,,,137
2022-05-12,"Wankhede Stadium, Mumbai",Mumbai,2,1,1,field,win,1,,,
2021-04-10,"Wankhede Stadium, Mumbai",Mumbai,2,3,3,field,win,3,,,162
2010-03-20,"Sardar Patel Stadium, Motera",Ahmedabad,6,,6,bat,win,6,,,
2014-05-15,"Sardar Patel Stadium, Motera",Ahmedabad,6,14,14,field,win,6,,,16
2016-05-18,M Chinnaswamy Stadium,Bangalore,17,13,13,field,win,17,,,223
2024-03-26,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,2,16,16,field,win,2,,,7
2020-11-01,Dubai International Cricket Stadium,Unknown,,6,6,field,win,,,,236
2025-04-30,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,2,5,5,field,win,5,,,81
2009-05-21,SuperSport Park,Centurion,17,18,17,bat,win,17,,,89
2018-04-13,M.Chinnaswamy Stadium,Bengaluru,13,17,17,field,win,17,,,78
2018-05-07,Rajiv Gandhi International Stadium,Hyderabad,8,17,17,field,win,8,,,76
2020-10-03,Sharjah Cricket Stadium,Unknown,3,,,field,win,3,,,81
2011-04-08,"MA Chidambaram Stadium, Chepauk",Chennai,2,,2,bat,win,2,,,
2024-04-28,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,2,8,8,field,win,2,,,1
2010-04-03,"MA Chidambaram Stadium, Chepauk",Chennai,2,6,2,bat,win,2,,,
2024-04-19,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,2,15,15,field,win,15,,,107
2017-05-13,Eden Gardens,Kolkata,,1,,field,win,1,,,
2022-04-29,"Maharashtra Cricket Association Stadium, Pune",Pune,15,5,5,field,win,15,,,122
2009-04-18,Newlands,Cape Town,2,1,2,field,win,1,,,
2021-04-23,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,1,5,5,field,win,5,,,107
2020-10-10,Sheikh Zayed Stadium,Abu Dhabi,,13,,bat,win,,,,222
2013-05-11,"Punjab Cricket Association Stadium, Mohali",Chandigarh,13,8,13,field,win,8,,,
2017-04-15,Eden Gardens,Kolkata,,8,8,field,win,,,,
2022-03-27,"Dr DY Patil Sports Academy, Mumbai",Mumbai,17,5,5,field,win,5,,,
2014-05-25,"Punjab Cricket Association Stadium, Mohali",Chandigarh,13,14,13,field,win,13,,,
2010-04-12,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,18,17,17,field,win,18,,,
2022-04-03,"Brabourne Stadium, Mumbai",Mumbai,5,2,2,field,win,5,,,172
2024-04-28,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,16,7,7,field,win,7,,,220
2014-05-07,Feroz Shah Kotla,Delhi,14,,14,bat,win,,,,
2008-05-11,Sawai Mansingh Stadium,Jaipur,6,14,6,field,win,6,,,
2023-04-08,"Barsapara Cricket Stadium, Guwahati",Guwahati,6,3,3,field,win,6,,,198
2020-10-31,Dubai International Cricket Stadium,Unknown,3,1,1,field,win,1,,,142
2024-04-07,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,15,16,15,bat,win,15,,,129
2016-05-12,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,8,14,14,field,win,14,,,
2013-05-19,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,8,,,bat,win,8,,,
2010-04-07,Eden Gardens,Kolkata,,14,,bat,win,,,,
2020-10-13,Dubai International Cricket Stadium,Unknown,2,8,2,bat,win,2,,,10
2013-04-06,Feroz Shah Kotla,Delhi,14,6,6,bat,win,6,,,
2018-04-24,Wankhede Stadium,Mumbai,8,1,1,field,win,8,,,64
2022-05-08,"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,2,3,3,field,win,2,,,26
2019-05-02,Wankhede Stadium,Mumbai,1,8,1,bat,tie,,,,136
2014-04-26,Sheikh Zayed Stadium,Abu Dhabi,6,17,6,field,win,6,,,
2022-05-15,"Brabourne Stadium, Mumbai",Mumbai,6,15,6,bat,win,6,,,191
2008-05-04,Dr DY Patil Sports Academy,Mumbai,1,14,14,field,win,1,,,
2013-04-03,Eden Gardens,Kolkata,,14,,field,win,,,,88
2012-04-28,"MA Chidambaram Stadium, Chepauk",Chennai,2,13,13,bat,win,13,,,
2025-03-25,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,5,16,16,field,win,5,,,81
2020-09-28,Dubai International Cricket Stadium,Unknown,17,1,1,field,tie,,,,
2011-04-18,Nehru Stadium,Kochi,10,2,10,field,win,10,,,
2021-09-28,Sharjah Cricket Stadium,Sharjah,3,,,field,win,,,,88
2023-04-02,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,1,17,17,field,win,17,,,211
2008-05-06,"MA Chidambaram Stadium, Chepauk",Chennai,2,18,18,field,win,18,,,
2025-04-15,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali,5,,5,bat,win,5,,,194
2023-04-22,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,16,15,16,bat,win,16,,,72
2015-04-22,M Chinnaswamy Stadium,Bangalore,17,2,17,field,win,2,,,
2023-04-11,"Arun Jaitley Stadium, Delhi",Delhi,3,1,1,field,win,1,,,151
2019-04-25,Eden Gardens,Kolkata,,6,6,field,win,6,,,
2023-05-13,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,8,15,8,bat,win,15,,,116
2017-04-14,Saurashtra Cricket Association Stadium,Rajkot,11,19,11,field,win,11,,,
2011-05-22,Eden Gardens,Kolkata,,1,1,field,win,1,,,
2019-05-05,Wankhede Stadium,Mumbai,,1,1,field,win,1,,,134
2025-04-04,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,15,1,1,field,win,15,,,
2011-05-09,Sawai Mansingh Stadium,Jaipur,6,2,6,field,win,2,,,
2018-05-20,Arun Jaitley Stadium,Delhi,14,1,14,bat,win,14,,,118
2019-05-04,M.Chinnaswamy Stadium,Bengaluru,8,17,17,field,win,17,,,197
2016-05-07,M Chinnaswamy Stadium,Bangalore,17,12,17,field,win,17,,,223
2014-04-25,Dubai International Cricket Stadium,Unknown,2,1,1,bat,win,2,,,72
2011-04-23,Feroz Shah Kotla,Delhi,14,13,13,field,win,14,,,50
2022-04-16,"Brabourne Stadium, Mumbai",Mumbai,15,1,1,field,win,15,,,107
2011-05-15,Himachal Pradesh Cricket Association Stadium,Dharamsala,13,14,14,field,win,13,,,137
2016-05-10,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,12,8,8,bat,win,8,,,210
2024-04-25,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,7,8,7,bat,win,7,,,227
2020-10-22,Dubai International Cricket Stadium,Unknown,6,8,8,field,win,8,,,89
2015-04-20,Feroz Shah Kotla,Delhi,14,,,field,win,,,,78
